,index,amazonIDs,recording_mbids,genres
12,20,5558479558,"fcc4abbe-f455-4a2b-9e2c-9f67e0f9055a, 893fc765-3044-4391-86f2-280819163a7d, 78719b64-f6a1-45de-b0fa-167845946e53, 04d528f6-60be-4975-9827-fdf65452aca4, 6a93f9e6-e564-47f5-a382-d4235e850a66, 4c85ce4a-47ae-44cc-a04e-deb2ac645987, f8997c06-4a18-4ff3-ab93-8bb1e477f45d, 7e685e72-07ea-4f74-9cc8-7accb1ba054d, bc3c12fc-c5c3-44c8-9b01-9b846f784762, 8d911f3f-a965-4940-af09-d3bf70ac75f6","Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock, Hard Rock,Christian,Rock"
13,21,5558682434,"98ff98be-8e49-40d1-bcec-e4969bd9ef4c, 28af642b-4d03-43aa-b5ba-5297d57c017f, 5862e838-d31d-4566-b521-c714214931f3, 11242a24-3586-49dc-b57d-365c9a1d1e61, 832dd3d9-1259-47da-a397-a2e2c8f8b0de, abcc318d-b0e3-4340-8b3b-fe766d63bfa6, 3b2f923c-14b4-43c6-b133-fe20d7b940a3, 251a3174-33ad-4d2e-ba02-e5ca5420f6ce, c6709e41-297a-46f4-8c60-589749b8dd08, f8744223-10cf-4c09-a462-1772c6ffe986, 41efc1eb-73cf-4b7d-9a1e-8c7c42349337","Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock, Pop,Rock"
14,22,5559019615,"233da278-b202-420b-b37a-32beac71bc00, 05d790e7-cc1a-4eb7-ac38-00a7c367c471, 81a11fd3-5a22-44ed-b16b-53eec0fb80b9, 01f9e7a4-f3fc-46bd-b69e-fe9368f6a713, 8a5949cc-383c-4a29-8ba0-b25fbb70ab22, 2f4d1ff6-41bc-4277-82ed-31e826bfc2cf, 3b12ae4b-43f6-4144-b694-f841ff56b409, 71f27d91-0f82-421e-9e0f-176cb44702d1","Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock, Jazz,Pop,Rock"
15,23,5559206520,4ef42da7-0a1d-41e6-a34a-71c46d57ddc3,"Soundtracks,Pop,Rock"
16,24,5559664235,"19c6461f-fe07-4a3c-9b81-f6f59c65ed09, 73b54da3-2c2f-48f5-9ef0-61275d058b2b, ec9ad036-239c-4fa4-b9b6-5b493ceb24f9, 22cf8446-57d2-45b5-a5cc-1614c1f1ce78, 7f95199b-0220-4457-872e-c0b5c93ad744, 8d1dcd92-4431-4334-96f7-7557bba60642, 8aebef13-08fa-46a3-a4a7-23f31c8ef8e4, bcad9a75-e077-4c90-a321-74c9d346d793, 64c580d2-d82a-4f2b-bb76-6fe71e49e2e2","Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock, Hard Rock,Pop,Rock"
17,25,6301165934,de4f9216-571c-462b-a955-dfb0d30acee1,"Comedic Music,Comedy & Spoken Word,Rock"
18,26,6303329071,"7ef36fd7-73bc-427e-b2a1-32f33656b8fe, 82e64e0f-d4df-4d4a-9218-a95d824b2e92, 8e3c35d3-5fac-45c1-89a0-c6845694dc95","Dance Pop,Pop,R&B, Dance Pop,Pop,R&B, Dance Pop,Pop,R&B"
19,27,7474006103,"b02a63ae-a28d-4991-bf89-56d35290e316, a50efc7c-d431-4e9b-8fb0-2f29921708ae, 48322336-97f2-47be-b9ba-d5c52cb63eb6, 4d2bf145-3ffb-475b-86e0-d98d920048be, 90e2278f-6045-412b-8e89-1ad5cfd180b1, 08cfa4fe-7e72-4102-b7aa-0cab122a1439, 63d50810-d7d2-463f-a48a-064b0bbc3677","Christian,Pop, Christian,Pop, Christian,Pop, Christian,Pop, Christian,Pop, Christian,Pop, Christian,Pop"
20,28,9077896058,0e1f16b2-8e99-4f5b-8fc6-c8598668326c,"Dance & Electronic,Rock,R&B"
21,29,B0000000AY,4f6466ab-fa21-4295-95cf-d689da476b0c,"New Age,Meditation,Jazz,World Music"
22,30,B0000000CE,1d0f0964-5b4e-4632-a9c8-4a7ea393db70,"Pop,New Age,Dance & Electronic,Techno,Healing,World Music,Meditation"
23,31,B0000000HB,"334f98d9-7556-4fb0-9e25-613dca02af0d, d99979c7-dd7b-4fe0-93fe-c5fe200b2872","Iran,Jazz Fusion,Jazz,Costa Rica,Pop,Latin Music,Middle East,World Music,Flamenco,South & Central America, Iran,Jazz Fusion,Jazz,Costa Rica,Pop,Latin Music,Middle East,World Music,Flamenco,South & Central America"
24,33,B0000000HF,"65f7ee66-2eab-4a2a-80cf-0dc1876e93cc, 1c224320-dbe7-4f50-ac7e-621ac058afef, 53b10dad-89f8-4960-ac17-44627873f204","Jazz Fusion,Jazz,Pop,Latin Music,World Music,Flamenco, Jazz Fusion,Jazz,Pop,Latin Music,World Music,Flamenco, Jazz Fusion,Jazz,Pop,Latin Music,World Music,Flamenco"
25,34,B0000000I6,"377454ff-e926-4f8c-ad2e-ab7c1bc825f0, e593260e-46a7-4500-98ae-913b1c36200b, 4bad8718-13f9-4a4c-a97b-c8177a8d3bbc","Adult Alternative,Progressive,Jazz,Pop,New Age,Rock,Meditation,Electronic, Adult Alternative,Progressive,Jazz,Pop,New Age,Rock,Meditation,Electronic, Adult Alternative,Progressive,Jazz,Pop,New Age,Rock,Meditation,Electronic"
26,35,B0000000IB,ae3e4b19-43b3-4da2-a422-27a37a826bd4,"Adult Alternative,Adult Contemporary,Progressive,Jazz,Pop,New Age,Rock,Meditation,Electronic"
27,36,B0000000IG,"32b0fa9f-aa2f-45af-8756-e09c7a12cab5, cca7b47c-9e60-42fa-ad4e-6a1c0945edd5","Adult Alternative,Progressive,Jazz,Pop,New Age,Rock,Meditation,Electronic, Adult Alternative,Progressive,Jazz,Pop,New Age,Rock,Meditation,Electronic"
28,38,B0000000JE,"7d9f690f-3bb5-41b8-8222-3399a4a2b510, 25e84d16-932f-4da5-8056-d25990ed874b","Adult Alternative,Progressive,Pop,New Age,Rock,Meditation,Electronic, Adult Alternative,Progressive,Pop,New Age,Rock,Meditation,Electronic"
29,39,B0000000JW,"daa96830-039c-42f6-85f4-24aaee7ac575, 71d40348-ad2a-46bd-8e30-1b6a541046b2","New Age,Jazz,Pop,Jazz Fusion,Rock, New Age,Jazz,Pop,Jazz Fusion,Rock"
30,40,B0000000K2,03d338ae-b5a8-4249-afa3-973c527450e5,"Instrumental,Adult Contemporary,Progressive,Electronic,Pop,New Age,Rock,Meditation,Adult Alternative"
31,41,B0000000K8,21aafd15-76e2-4ed7-b4a5-629039d784b9,"Alternative Rock,Progressive,Electronica,Krautrock,Rock,Pop,New Age,Dance & Electronic,Ambient,Meditation,Progressive Rock"
32,43,B0000000KI,"b68319ee-d876-4802-829a-e6d2de2375b9, 77d1a0a5-bf18-4093-97a6-30d921309add, 66653703-d697-4226-86d8-2969ad0d5991, 90cd4501-32f8-47f4-a6d8-33a40fe15bcf, 4f504cc1-4f2e-462b-8270-632d47b12354","Adult Contemporary,Vocal Pop,Pop,Rock, Adult Contemporary,Vocal Pop,Pop,Rock, Adult Contemporary,Vocal Pop,Pop,Rock, Adult Contemporary,Vocal Pop,Pop,Rock, Adult Contemporary,Vocal Pop,Pop,Rock"
33,44,B0000000L0,"a1ab40bc-c04c-4874-80c0-96433bac8eb2, fd3f1a98-3402-44fd-b138-f4295308b38f, d70778cf-c97d-4eb4-b850-f5c72476e288, fbf5e4bf-c7d1-4eb5-8014-11ee4a68c3e9, 5e7a40eb-f959-43ad-a660-846dd53f1abd","Brazil,Swing Jazz,Jazz,South & Central America,Latin Pop,Brazilian Jazz,Latin Music,Pop,World Music,Bebop,Latin Jazz, Brazil,Swing Jazz,Jazz,South & Central America,Latin Pop,Brazilian Jazz,Latin Music,Pop,World Music,Bebop,Latin Jazz, Brazil,Swing Jazz,Jazz,South & Central America,Latin Pop,Brazilian Jazz,Latin Music,Pop,World Music,Bebop,Latin Jazz, Brazil,Swing Jazz,Jazz,South & Central America,Latin Pop,Brazilian Jazz,Latin Music,Pop,World Music,Bebop,Latin Jazz, Brazil,Swing Jazz,Jazz,South & Central America,Latin Pop,Brazilian Jazz,Latin Music,Pop,World Music,Bebop,Latin Jazz"
34,45,B0000000L2,09d311b1-374f-427c-9a17-c6db5d1c2924,"Instrumental,Progressive,Electronic,Jazz,Pop,New Age,Rock,Meditation,Adult Alternative"
35,46,B0000000L6,dd8f1270-8d96-4617-a6f3-8b75512ac712,"Alternative Rock,Progressive,Electronica,Krautrock,Rock,Pop,New Age,Dance & Electronic,Ambient,Meditation,Progressive Rock"
36,47,B0000000LE,c55e6826-33a2-46f9-8ca1-bae1237d8d89,"Classic Country,Contemporary Folk,Country,Pop,Traditional Folk,Electric Blues,Traditional Blues,Contemporary Blues,Blues,Folk"
37,48,B0000000LG,f4721130-a7b0-42ef-ac69-44d4a7c5c7f5,"R&B,Blues,Soul,Pop,Vocal Blues"
38,49,B0000000LO,46c695e9-a9e2-4dd8-9b91-8b226b12d60a,"Brazil,Swing Jazz,Jazz,South & Central America,Latin Pop,Brazilian Jazz,Latin Music,Pop,World Music,Bebop,Latin Jazz"
39,50,B0000000LQ,b82860b7-e6f8-4de8-a624-70f2808ca63a,"Adult Contemporary,Oldies,Traditional Vocal Pop,Jazz,Vocal Jazz,Traditional Pop,Pop,Traditional Jazz & Ragtime,Broadway & Vocalists,Rock,Vocal Pop"
40,51,B0000000M0,"29665a5c-4c14-43ca-baeb-dd7b0c6ca884, 693a0165-a428-49ea-9b4d-e428ffa7f4ce, 1b6567a9-f5d3-423a-8026-377bd8b298d3, e97fbb0a-14fe-45ec-8896-8af56d862ff9, fda8446f-4107-425c-8705-4759f782ed21, b527c8e5-d008-45f1-9f4c-7b537fd738fe, 103a0852-11f8-4f21-9e3c-10deb5952059, e24ea7ab-70dd-419a-bb2e-4270e6d41653, 0987e089-223a-459d-9809-1ec696adac59","Adult Contemporary,Contemporary Folk,Pop,Adult Alternative,Singer-Songwriters,Rock,Folk, Adult Contemporary,Contemporary Folk,Pop,Adult Alternative,Singer-Songwriters,Rock,Folk, Adult Contemporary,Contemporary Folk,Pop,Adult Alternative,Singer-Songwriters,Rock,Folk, Adult Contemporary,Contemporary Folk,Pop,Adult Alternative,Singer-Songwriters,Rock,Folk, Adult Contemporary,Contemporary Folk,Pop,Adult Alternative,Singer-Songwriters,Rock,Folk, Adult Contemporary,Contemporary Folk,Pop,Adult Alternative,Singer-Songwriters,Rock,Folk, Adult Contemporary,Contemporary Folk,Pop,Adult Alternative,Singer-Songwriters,Rock,Folk, Adult Contemporary,Contemporary Folk,Pop,Adult Alternative,Singer-Songwriters,Rock,Folk, Adult Contemporary,Contemporary Folk,Pop,Adult Alternative,Singer-Songwriters,Rock,Folk"
41,52,B0000000M4,0cfe7b72-c310-45e1-9668-f395b51497fe,"Country,Pop,Electric Blues,R&B,Contemporary R&B,Contemporary Blues,Blues"
42,53,B0000000MF,20dc63f1-1a82-4823-b87c-a1417230339c,"Classic Country,Contemporary Folk,Country,Pop,Traditional Folk,Electric Blues,Modern Blues,Acoustic Blues,Traditional Blues,Contemporary Blues,Blues,Folk"
43,54,B0000000MH,87b00bd6-5729-489a-b55e-82027226474c,"Adult Alternative,Adult Contemporary,Progressive,Jazz,Pop,New Age,Rock,Meditation,Electronic"
44,55,B0000000MJ,"beccb02f-0f52-4fcc-8e59-13b004ff9f7b, df97f74a-ab92-4165-84fc-7c7660921e08, ebbe43c6-e86e-4c4b-bae4-7c90e66bde88, 055b257b-e8c2-4c46-870c-36bc0d29fa27, d1e83f9b-ea3a-489b-994a-360194833733, ec989a5b-f764-4d71-a224-4a0aff7a3c67, 025a4114-a3a6-4411-b5ba-338af3266747, 92056a9d-3b6f-41cb-ba05-5255facd7aaa","R&B,Blues,Soul,Pop, R&B,Blues,Soul,Pop, R&B,Blues,Soul,Pop, R&B,Blues,Soul,Pop, R&B,Blues,Soul,Pop, R&B,Blues,Soul,Pop, R&B,Blues,Soul,Pop, R&B,Blues,Soul,Pop"
45,56,B0000000SC,"bfe2e865-5696-4229-88c6-c45cfcb4ea50, 718ab02d-a000-4589-b2ac-353b00863305, 0bc644f3-17a1-4058-9a2d-1e545f486670, 58cb0a84-7202-4924-a9eb-f08050996147, 143ea1e8-db52-4a89-8365-ca7dfe46ea0c, 57cf791a-8a46-4f55-9fb0-e2922980a6c3, b8db1b09-5e17-48ec-acc5-9998867072d2, 565bacc6-3a57-4ede-9493-0afc8dc0f323, a1bdaf26-b2a4-40f8-b62b-1146349fc658, 2625ab12-c79b-4abb-96cd-40e65dc5c706, a50a959e-7589-4793-b7ed-e62cf5cac0cf, df3dead5-eb64-48f3-8423-f6f175d86625, 37162a4a-f3cb-4a0b-8586-537872fa9503","Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative"
46,57,B0000000SP,"7d02f343-31d6-4b1f-8cbb-a8319d521045, 5658c594-f969-4b8a-8d60-01c54ba44a08, 52d3efb8-7390-4bbb-b124-5ea1abe4be2a, b0aa6bfd-d6e6-4245-9180-b00829eab7fe, cc6d5f15-47b3-4e24-be98-1682e500ddc3, 23887abb-2139-4756-adea-4fc4bcd8f42a, 67888809-18e3-4481-b8b7-e6d2a2f24bed, 22f3a3b7-e25d-42f7-af49-75907f27224d, 829da967-d4c8-4fd0-b3d6-c535e98a56d9, fa6569e3-aa8b-4427-a63f-3d4cdbcd60d0, 8c6142b7-2abb-4402-b03b-b951ac6453b9, 6b780ff9-e917-4c72-9777-f00daf9d5f77, 56e52589-2c27-43e3-9dbc-3f9f16e7d136","Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative, Alternative Rock,Indie Rock,Indie & Lo-Fi,Lo-Fi,Pop,Rock,American Alternative"
47,58,B0000000U8,d5ee7620-697f-475e-9bf7-9f8e97323d31,"Brazil,Jazz,World Music,Pop,South & Central America"
48,63,B00000010J,"7b70cd09-249e-4ab9-8038-b8ae05acd540, 4a661566-61bf-4249-ab62-5b573770b550, e2329baa-db8a-438e-bf6e-c62c76c77653, 7fdfbb00-8c86-4834-8f7b-ec468e155b0b, 7418ce94-2995-4002-b98e-aa9a52bfc97b, d96b8371-25f5-4b1a-8781-cc074561883d, f8c0b580-6dee-42c9-b2d0-93cc1356fe03, 37caa6f3-6c1a-485c-b268-7f98e45b1f6e, f39ea139-b6df-44b9-aff1-18181d197af6","R&B,House,Soul,Pop,Dance & Electronic,Dance Pop,Blues, R&B,House,Soul,Pop,Dance & Electronic,Dance Pop,Blues, R&B,House,Soul,Pop,Dance & Electronic,Dance Pop,Blues, R&B,House,Soul,Pop,Dance & Electronic,Dance Pop,Blues, R&B,House,Soul,Pop,Dance & Electronic,Dance Pop,Blues, R&B,House,Soul,Pop,Dance & Electronic,Dance Pop,Blues, R&B,House,Soul,Pop,Dance & Electronic,Dance Pop,Blues, R&B,House,Soul,Pop,Dance & Electronic,Dance Pop,Blues, R&B,House,Soul,Pop,Dance & Electronic,Dance Pop,Blues"
49,66,B00000011H,"f4da3dec-9631-4fa6-bd6c-5986aff20a88, b0493f96-6de3-411b-92c2-d0bdbca95f9e, 69e8e675-1a47-4b9f-b380-bc7221dcd747, eb6d84c2-f3dc-440a-b076-b00596de7195, f2de9326-faa5-4a4f-9398-e7f9e7e0f33a","R&B,Pop Rap,Rap & Hip-Hop,Pop,Gangsta & Hardcore, R&B,Pop Rap,Rap & Hip-Hop,Pop,Gangsta & Hardcore, R&B,Pop Rap,Rap & Hip-Hop,Pop,Gangsta & Hardcore, R&B,Pop Rap,Rap & Hip-Hop,Pop,Gangsta & Hardcore, R&B,Pop Rap,Rap & Hip-Hop,Pop,Gangsta & Hardcore"
50,67,B00000012P,ca5eea2d-245f-475a-8211-cf5d14f81c91,"Rock,Pop,British Invasion,Classic Rock"
51,69,B000000139,de5ff65a-1a3f-4e81-870c-0ad96bd1df73,"Alternative Rock,New Wave & Post-Punk,British Punk,British Isles,Europe,Punk,Disco,Dance & Electronic,Britain,World Music,Rock,Hardcore & Punk"
52,70,B00000013F,"5f511314-4857-4f3a-b4c7-4be72709e5f0, e0996089-20b7-41b4-a10f-9423669da119, 4cac7548-43e0-4ff8-a46d-b5ec15e420f1","Rock,Metal,Pop,Arena Rock,Classic Rock, Rock,Metal,Pop,Arena Rock,Classic Rock, Rock,Metal,Pop,Arena Rock,Classic Rock"
53,71,B00000013U,397c485c-2525-4e66-9b02-fe2ba79615c4,"Soul,Pop,Blue-Eyed Soul,R&B,British Invasion,Rock,Vocal Pop,Classic Rock"
54,72,B00000018H,"a0e7677c-7a9f-48be-a2b0-7f9dc79ea339, 262c3074-096a-428b-87e9-7dafcb916b14, 94868a85-e6cc-4c22-97e5-2c81f23d637c","Adult Contemporary,Blues Rock,Country,Rock,Pop,Slide Guitar,Singer-Songwriters,Album-Oriented Rock (AOR),Contemporary Blues,Blues,Folk,Classic Rock, Adult Contemporary,Blues Rock,Country,Rock,Pop,Slide Guitar,Singer-Songwriters,Album-Oriented Rock (AOR),Contemporary Blues,Blues,Folk,Classic Rock, Adult Contemporary,Blues Rock,Country,Rock,Pop,Slide Guitar,Singer-Songwriters,Album-Oriented Rock (AOR),Contemporary Blues,Blues,Folk,Classic Rock"
55,74,B00000019G,9ef14bbd-7d6c-43bd-ba4e-2d8a8e266221,"Movie Soundtracks,Soundtracks,Pop"
56,75,B0000001AK,"26e9bb5e-f651-4617-a17c-b7f93b8272bf, db47e9f8-e647-4015-b035-e8eb912f4f69","Pop,Easy Listening, Pop,Easy Listening"
57,76,B0000001AQ,11fca090-ad4e-497b-8a7c-bf1b0ecf8185,"Regional Blues,Pop,Texas Blues,Electric Blues,Modern Blues,Traditional Blues,Blues"
58,77,B0000001BN,"7f179a12-cb4e-4aaa-b66c-d4eab9d2b76a, d3ddeb00-ff0e-4d1a-9f2c-4e4d93164934, 7217cdcc-8f63-41ea-9853-b0a3c3931f91, cdbb76d9-549b-42f2-bc81-4b645f92f4b8, f0445240-b4b4-45c9-a893-688cdf2978b1, 7c72350f-ea58-46b6-a398-3ebb580c014f, 140220f6-d800-4d06-a524-f16fbda189a3","Europe,Eastern Europe,Smooth Jazz,Jazz,Pop,Modern Postbebop,World Music,Hungary,Bebop, Europe,Eastern Europe,Smooth Jazz,Jazz,Pop,Modern Postbebop,World Music,Hungary,Bebop, Europe,Eastern Europe,Smooth Jazz,Jazz,Pop,Modern Postbebop,World Music,Hungary,Bebop, Europe,Eastern Europe,Smooth Jazz,Jazz,Pop,Modern Postbebop,World Music,Hungary,Bebop, Europe,Eastern Europe,Smooth Jazz,Jazz,Pop,Modern Postbebop,World Music,Hungary,Bebop, Europe,Eastern Europe,Smooth Jazz,Jazz,Pop,Modern Postbebop,World Music,Hungary,Bebop, Europe,Eastern Europe,Smooth Jazz,Jazz,Pop,Modern Postbebop,World Music,Hungary,Bebop"
59,78,B0000001BO,"8fcf76be-587f-4f5f-b6a1-4e1d623e5a40, df1cb3a8-9f9e-4d39-83e4-cbbcd2050701, 95b89f56-9586-48c6-a0df-2b2942a6e129, 2ad7ea12-313d-4024-af03-0f43685b1a6f, ce600998-4c86-49d8-88b8-5549611d96c1, b5dffcac-6a74-49d0-947d-fb5316565ee9, c3e1e181-2d03-446b-a3cf-304c9e09c31c","Cuba,Jazz,Latin Pop,Modern Postbebop,Latin Music,Pop,World Music,Latin Jazz,Bebop,Caribbean & Cuba,Cool Jazz, Cuba,Jazz,Latin Pop,Modern Postbebop,Latin Music,Pop,World Music,Latin Jazz,Bebop,Caribbean & Cuba,Cool Jazz, Cuba,Jazz,Latin Pop,Modern Postbebop,Latin Music,Pop,World Music,Latin Jazz,Bebop,Caribbean & Cuba,Cool Jazz, Cuba,Jazz,Latin Pop,Modern Postbebop,Latin Music,Pop,World Music,Latin Jazz,Bebop,Caribbean & Cuba,Cool Jazz, Cuba,Jazz,Latin Pop,Modern Postbebop,Latin Music,Pop,World Music,Latin Jazz,Bebop,Caribbean & Cuba,Cool Jazz, Cuba,Jazz,Latin Pop,Modern Postbebop,Latin Music,Pop,World Music,Latin Jazz,Bebop,Caribbean & Cuba,Cool Jazz, Cuba,Jazz,Latin Pop,Modern Postbebop,Latin Music,Pop,World Music,Latin Jazz,Bebop,Caribbean & Cuba,Cool Jazz"
60,79,B0000001BS,f306097a-1c30-436b-a19c-3bfd20e7f1ff,"Cuba,Jazz,Latin Pop,Modern Postbebop,Latin Music,Pop,World Music,Latin Jazz,Bebop,Caribbean & Cuba,Cool Jazz"
