,index,amazonIDs,reviews,genres,clean_reviews
79,174,B0000001YD,"I bought Jughead's Revenge's, Just Joined, and absolutely loved it.  Just  Joined is more melodic punk.  This album is all out kick ass Hardcore punk.  Its amazing to see how much a band can change in 5 years.  The cover song  of Elvis's &quot;Love me Tender&quot;, is great.  It also a good buy,  because there is 28 songs on it.","Alternative Rock,Punk Revival,Punk,Pop,Rock,Hardcore & Punk",bought jugheads revenges joined absolutely loved joined melodic punk kick ass hardcore punk amazing see much band change years cover elviss quot love tender quot great also good buy bought revenges joined absolutely loved joined melodic melodic punk punk kick kick ass ass hardcore hardcore punk punk amazing see band change years cover quot love tender quot great good buy
80,176,B0000001YL,"If you like the Bouncing Souls, you wont be disappointed. I'm a BMX racer and I love The BMX Song. The rest of the CD is great too. This album is what got me into punk rock 10 years ago. I heard The BMX Song once, and I've been a Bouncing Souls fan ever since. Highly recommended sing along punk rock. The best there is in my opinion. as one of the other reviewers said, these are one of the bands that got me into punk rock in the first place.  from the dumb little jingles on tgtbata to making referencing 80's movies very cool in punk, and from johnny x and their first release on epitaph, i can honestly say i had more fun being into this band than almost any other growing up.  this is the record that set it off - you should buy it.  also one of the best live bands i've ever seen... multiple times. One of my favorite albums from my youth, finally back on vinyl! So glad this is available now! A must-have! Any one who likes punk or is interested get this cd!!! Its constanly in my  cd player. Get it now. The BMX songs pretty funny!I got some dark shades  and ran over some rollar bladers!! Well later yall email me if you got any  cds to recomend! Hopeless Romantic used to be my favorite souls album, but after finally getting around to buying this one i think we have a new champion.  i'd seen the band live a couple of times and got this album for &quot;here we go,&quot; but besides that, it's got BMX Song and Lamar Vanoy, and 'Quik Check Girl', which is the greatest pop-punk unrequited love song ever written.  if you like Green Day or other poppy, sing-along type punk bands then you need to get this album.  besides, they are from New Brunswick so they rule. This is the best album released by the best punk band out right now.  Their music is original and talent-filled.  Also thrown in is the BS's lyrical ability which is essential for an album to be truly great.  Songs  like &quot;quick check girl&quot; and &quot;born to lose&quot; will make  you bouncing souls fan if you aren't already.  They are also great live,  see them if they ever come to your town, or at least buy the live  album This is my favorite Bouncing Souls album, although Hopeless Romantic is  another standout in my lil head. My favorite song has got to be The Freaks,  Nerds , and Romantics or Argyle cause i can relate. But dude the whole cd  is great..i recommend! too bad it doesnt have more than 12 tracks...but  still- GOOD ALBUM wooo!","Alternative Rock,Punk Revival,Punk,Pop,Rock,Hardcore & Punk",like bouncing souls wont disappointed im bmx racer love bmx rest cd great got punk rock years ago heard bmx ive bouncing souls fan ever since highly recommended sing along punk rock best opinion one reviewers said one bands got punk rock first place dumb little jingles tgtbata making referencing movies cool punk johnny x first release epitaph honestly say fun band almost growing record set buy also one best live bands ive ever seen multiple times one favorite youth finally back vinyl glad available must one likes punk interested get cd constanly cd player get bmx pretty funny g like bouncing souls wont disappointed im bmx bmx racer racer love bmx rest cd great got punk punk rock rock years years ago heard bmx bouncing souls fan ever since highly recommended sing sing along punk punk rock rock best opinion reviewers said bands got punk punk rock rock place dumb jingles referencing movies cool punk johnny first release release epitaph honestly say fun fun band band growing record record set set buy best live live bands bands seen multiple times favorite youth finally vinyl glad available likes punk interested cd cd cd player player bmx pretty funny
81,177,B0000001Z1,"Once again, Hepcat follows trough with an album that follows the traditional sound of 60's ska with the right amount of jazz and soul.  The smooth vocals of Lee and Barry blend well with a tight rhythm section and joyous horns.  Tracks like the infectious &quot;Bobby and Joe&quot; provide  a good counterpoint to slower and more contemplative tunes like  &quot;Solo&quot;. For those fans of jazz-like ska, try &quot;Yokozuna&quot;  for a good listen.  A great album, and one of the best ska albums in recent  years. This is another great album,just like &quot;out of nowhere&quot; and &quot;right on time&quot;. I have been a loyal fan of this group and take every opportunity I have to see them live.Not only is their music boss but  they put on an awesome show.For all the fans out in Los Angeles who don't  already know,they're playin at House of Blues on Jan.21'00 so don't miss  it! This CD is by far one of the greatest finds I have made--thanks to down loading music.If you take your ska back to its roots, this is the album for you.  In the vein of their modern peers, the Toasters, this Hepcat's album takes the ska sound back to the original 1950's and 60's rude boys of Jamaica.  The Hepcats are true to their predecessors--the Skatalites, King Tubby, Desmond Decker, and others.  This is not your neighbors ska-core, this is real island ska.Buy it, you wont regret it. I listen to this while working.  great beats and underappreciated again and again.  A great band with great sound! Highly recommend Even people who don't particularly like ska will enjoy this album. Track #8 is a lot of fun...unforgetable! A plus to any music collection.....","Alternative Rock,Reggae,Hard Rock,Third Wave Ska,Punk,Rocksteady,Ska,Rock,Hardcore & Punk,Jamaican Ska",hepcat follows trough follows traditional sound ska right amount jazz soul smooth vocals lee barry blend well tight rhythm section joyous horns like infectious quot bobby joe quot provide good counterpoint slower contemplative tunes like quot solo quot fans jazz like ska try quot yokozuna quot good listen great one best ska recent years another great like quot nowhere quot quot right time quot loyal fan group take every opportunity see live boss put awesome show fans los angeles dont already know theyre playin house blues jan dont miss cd far one greatest finds made thanks loading take ska back roots hepcat follows trough follows traditional sound ska right jazz soul smooth vocals barry blend tight rhythm rhythm section section joyous horns infectious quot bobby joe quot provide good counterpoint contemplative tunes solo quot fans jazz ska try quot yokozuna quot good listen great best ska recent years great quot quot right time quot loyal fan group opportunity see live boss awesome awesome show show fans los angeles know house blues jan miss cd far greatest finds thanks loading ska roots
82,179,B0000001ZN,"How boring can one album be?  This is a mishmash of every slow song ever heard...just more boring. Greg Kihn puts together an excellent batch of songs ranging from a Kink's cover to catchy originals like &quot;Vampira&quot;. The highlight has to be the title track and &quot;Trials, troubles, and tribulations&quot;. I had not listened to Greg Kihn for years, but when I first heard this album I was blown away.  This is a combination of acoustic songs in varying styles from blues to rock to ballads.  Especially great are the title cut,  Horrorshow;the Kinks song, Waterloo Sunset; and Trials, Troubles,  Tribulations.  This is a mature artist at his best, doing exactly the kind  of material he wants without having to bend to any commercial pressures.  One of my favorite albums of the 90s. This album was made in 1996, way after Greg Kihn's heyday, such as it was. I can't name even three Greg Kihn songs that aren't on this record. So why has this CD never been out my of reach since somebody pushed it on me many years ago? Because I can't get enough of his weary voice and the lush but understated orchestral backing on Noa Noa and Horror Show. The title track is as poignant as John Fogerty's Long as I Can See the Light or the Kinks' Hollywood Boulevard. Speaking of which, Kihn's Waterloo Sunset may be the most underrated cover of the most underrated band of all time.","Alternative Rock,New Wave & Post-Punk,Pop,New Wave,Power Pop,Singer-Songwriters,Rock,Folk",boring one mishmash every slow ever heard boring greg kihn puts together excellent batch ranging kinks cover catchy originals like quot vampira quot highlight title quot trials troubles tribulations quot listened greg kihn years first heard blown away combination acoustic varying styles blues rock ballads especially great title cut horrorshow kinks waterloo sunset trials troubles tribulations mature artist best exactly kind material wants without bend commercial pressures one favorite made way greg kihns heyday cant name even three greg kihn arent record cd never reach since somebody pushed many years ago cant ge boring mishmash slow heard boring greg greg kihn excellent batch ranging kinks cover catchy originals quot quot highlight title quot trials troubles tribulations listened greg greg kihn years heard blown blown away away combination acoustic varying styles blues blues rock rock rock ballads ballads especially great title cut horrorshow kinks waterloo sunset sunset trials troubles tribulations mature artist best exactly kind material wants bend commercial pressures favorite way greg greg kihns heyday greg greg kihn arent record cd reach somebody pushed years years ago ge
83,180,B000000205,"Great collection from an amazingly talented band.  Their original songs are outstanding as are their interpretations of songs by other artists (great version of ""Love Vigilantes"").  If you like British folk/folk-rock, give this band a try.  They really should be better known in the U.S.  Would love to seem them in concert someday. The Oysterband (or Oyster Band) was a leader of the British Folk-Rock genre way back when and they still hold up today.  Their take on Hal-an-to is spectacular and I died of laughter hearing their Bloody Wedding song.","Folk Rock,Contemporary Folk,British & Celtic Folk,Pop,British Folk,World Music,Rock,Folk",great collection amazingly talented band original outstanding interpretations artists great version love vigilantes like british folk folk rock give band try really better known u would love seem concert someday oysterband oyster band leader british folk rock genre way back still hold today take hal spectacular died laughter hearing bloody wedding great collection amazingly talented band original outstanding interpretations artists great version love vigilantes british folk folk folk rock rock band try really better known love seem concert someday oyster oyster band band band leader leader british british folk rock folk folk rock rock genre way way back hold today hal spectacular died laughter hearing bloody wedding
84,181,B00000020C,"The nineties appeared to be the resurrection years of Bert Jansch. 'The Ornament Tree'(1990), a tasteful rendition of Scottish folksongs, was the start and 'When The Circus Comes To Town' (1995) is his masterpiece of this era. Strong lyrics, beautiful melodies, his wonderful guitarplaying. Bert is back in town again!Songs like 'Stealing the night away', 'Morning brings peace of mind', 'Just a dream' make it completely obvious: Bert Jansch was and still is one of the greatest singer/songwriters we ever had on this planet!A remarkable aspect: The bluesy 'No-one around', written by Janie Romer and the only song not penned by Jansch on this album, is the highlight of 'Circus...'.'Circus...' has got a quality similar to albums such as 'Rosemary Lane'(1971), 'L.A. Turnaround (1974) and 'A Rare Conundrum' (1977). I've been following Jansch since I discovered Pentangle the year they broke up in the early '70s, but I never knew about this release until last year (2011).  It was a limited release originally and apparently not well promoted.  However, this ranks with the best of his works.  You can tell Bert poured his whole heart into the compositions. The songs are highly inventive, yet relaxed and natural.  They are some of the richest of his career.  While it has a cool slow-strolling jazz sound, you actually feel the humidity in the Summer Heat.  Walk Quietly By is a sweet observation of an old man's life, with Bert's classic hint of nostalgia that never becomes cloying.  No One Around has a classy blues swing.  Born With The Blues goes back to Bert's spare, pure vocal/guitar blues days and would fit very well (along with Open Road) on one of his early albums. Morning Brings Peace of Mind could easily be an early work, having a melodic resemblance to Sally Free and Easy.  The title song and Stealing the Night Away stand out with a drive unlike his other songs.  The weak point is the throwaway, Honey, Don't You Understand.  It is too  cloying with its simplistic melody - fine if it were a children's song, but not here. It is much too out-of-step on a disc that includes such passionate soul-searchers like Living In The Shadows and Step Back. After scanning albums for a while here on Amazon, it looks like Yes, Led Zep, Pink Floyd and their ilk have several million reviews and comments. Seems pretty quiet over in the Jansch area. But I go there on occasion and like what I find. I have some of his early lps and a few on disc and a Pentangle here and there. While my history with this stuff appears to be long, it might not be ""purist"" deep. I don't get hung up on any one record or genre and I listen to lots of things. Even Charles Ives or Paganini. On several forays into died-in-the-wool-folk clubs I ordered the wrong drink and felt I had to leave. So dilettante that I may be--I like this record. This is kind of a gem. The warmth and personality come through first. Jansch is obviously a fine acoustic guitarist and the stuff going on underneath the vocal is quite intriguing. Like Kottke, the vocal sort of belongs to the guy playing so it's part of the deal. Emotive, perhaps is descriptive enough. The songs might be contemporary versions of music from way back in the tradition--worthwhile from several angles. Walk Quietly By comes in quietly. Open Road, likewise. Meditative way to begin the disc. Simple accompaniment shows up throughout the proceedings. Drums and bass on the title tune, sax intro on Summer Heat. Perfect setting by the way. Very pretty guitar on The Lady Doctor From Ashington. Back up with Stealing the Night Away--one of my favorites here. Electric slide playing has just the right strength. Further along, Born With the Blues carries his career-long trademark sound. Morning Brings Peace of Mind with light touch guitar and backing strings then leads to the program's final song--Living In the Shadows. ""For the whole damned world to see."" Guitar, bass, drums and sax. And words of wisdom. Thirty years after his debut, Bert Jansch shows that this Scottish folk singer/guitarist/songwriter only gets better with age.  On this collection of mostly originals (&quot;No-One Around&quot; is the lone exception), Jansch utilizes other musicians with a fiddle here (&quot;Step Back&quot;) or a saxophone there (&quot;Summer Heat&quot;), but each song showcases Jansch's own warm vocals and understated guitar work, especially lovely is the instrumental &quot;The Lady Doctor from Ashington.&quot;  Not only is this Jansch's best album of the Nineties, it's quite simply one of the best albums of his career.  HIGHLY RECOMMENDED","Folk Rock,British & Celtic Folk,Pop,Traditional Folk,British Folk,World Music,Rock,Folk",nineties appeared resurrection years bert jansch ornament tree tasteful rendition scottish folksongs start circus comes town masterpiece era strong lyrics beautiful melodies wonderful guitarplaying bert back town like stealing night away morning brings peace mind dream make completely obvious bert jansch still one greatest singer songwriters ever planet remarkable aspect bluesy one around written janie romer penned jansch highlight circus circus got quality similar rosemary lane l turnaround rare conundrum ive following jansch since discovered pentangle year broke early never knew release last year limited release originally apparently well promoted however ranks best work nineties appeared resurrection years bert jansch jansch ornament tree tasteful rendition scottish folksongs start circus comes town masterpiece era strong lyrics beautiful melodies wonderful town stealing night away brings peace mind dream completely obvious bert jansch jansch greatest singer singer songwriters songwriters planet remarkable aspect bluesy written janie romer penned jansch highlight circus circus got quality similar rosemary lane turnaround rare conundrum ive following jansch discovered pentangle year broke early knew release last year year limited limited release release originally apparently promoted ranks best best work work
85,183,B000000231,"I was lucky enough to be a freshman in high school when the Mink were starting to blow up at Macalester College and all over the Minneapolis/St.Paul rock scene.  I have their early demos and seven inches, I saw them in grungy coffee shops and basements and bars all over the twin cities.  I lived for them, and they still thrill me to this day. Buy all their records, and send them money and roses and thank you cards. Like the reviewer below, I rate El Producto as the best WM outing.  I also like their self-titled record a bit better than Colossus, but really, that's not an indictment of this record as much as a recognition of the standard they've set.  Mellower yet catchy as ever, WM on Colossus sounds relaxed and confident.  Given the circumstances under which the record was recorded, maybe they felt some freedom they hadn't in the past.Whatever the case, generally they seem to have chosen to turn down the volume in favor of cleaner guitar tones and slightly more intricate arrangements (if that's possible).  The opener, &quot;Goodnite&quot;, reveals the cleaner tone with its catchy riff, and the song &quot;Lama&quot; might have the coolest guitar riff John Kimbrough has ever done.  In between there's straight-ahead pop on &quot;She Can Smile&quot;, a rocking ode to mothers on &quot;Brave Beyond The Call&quot; and a nice solo acoustic number tacked onto the final selection.It's a different kind of record than they've done before, but the quality is as high as ever. This CD finds Walt Mink sounding older and mellower. It is no mistake that this came out on a label best known for emo -- at times this album is downright depressing. But then, if I had just been through what they went through with their previous album (and sole major label release) El Producto, I would proabably be depressed too. That is not to say that they no longer rock. It is just that here they have matured to the point that they realize they don't always have to rock. And here, more than anywhere else, their queiter stuff works. I still would pick El Producto as the Walt Minks best release, but this is an album you should own. This is the Mink in their glory.... THE BEST And tragically....the last studio album from them. The Mink broke up shortly into their supporting tour of this CD.  Thank god I got to see them on this tour. This CD is a  shining monument though....Some of Kimboroughs finest song work, and vocal  work is on this one. buy it live it love itP.s.  If you think to capture  their live essence buy purchasing the CD 'Goonite'  don't bother...it does  not even come close and the recording quality is very poor even if it is an  'Official' live CD","Alternative Rock,Indie Rock,Indie & Lo-Fi,Pop,Rock,Hardcore & Punk,Punk-Pop",lucky enough freshman high school mink starting blow macalester college minneapolis st paul rock scene early demos seven inches saw grungy coffee shops basements bars twin cities lived still thrill day buy records send money roses thank cards like reviewer rate el producto best wm outing also like self titled record bit better colossus really thats indictment record much recognition standard theyve set mellower yet catchy ever wm colossus sounds relaxed confident given circumstances record recorded maybe felt freedom hadnt past whatever case generally seem chosen turn volume favor cleaner guitar tones slightly intricate arrangements thats possible op lucky freshman high high school school mink starting blow macalester macalester college college minneapolis paul rock rock scene early early demos demos inches saw grungy coffee coffee shops shops basements bars twin twin cities cities lived thrill day buy records send money roses thank cards reviewer rate best self self titled titled record bit better colossus really indictment record recognition standard set catchy colossus sounds relaxed confident given circumstances circumstances record recorded maybe felt freedom case generally seem chosen turn volume favor guitar guitar tones tones slightly intricate arrangements possible op
86,184,B000000233,"When I find a CD this good that has been around since 1998, I don't know whether to be glad that I found it or feel stupid for not knowing about it till now.  I've played it every day since coming across it, so maybe I've made up for lost time.  These guys really have the Deep Elm emo sound down, but with a much more powerful fullness than most Deep Elm discs.  Brilliant vocals/lyrics blended into forceful guitar band music.  A fascinating synthesis of sound and sincerity.  There are no accidents here, every note, sound, and word has a purpose.  Every song is a crafted work of experiential art.  This is like the doctoral dissertation level of emo music.  &quot;Operator&quot; is one of the greatest hardcore emo songs ever recorded, a tour de force of power and heart.  This song alone would make this a five star CD, but every song is within a hair of being just as good.  Only Deep Elm has the guts to put out music this intelligent.  Outstanding. It comes as no surprise that every review gives this album 5 stars. And it's not one of those obscure mediocre bands that carry a 5 star rating because they have one review..or one fan. TFA put out two albums that are astouding in their consistency, beauty, and capacity to rock. I don't like to generalize but for me this WAS the melodic rock band of the 90's even though I've just found that out in the last six months of 2001. Buy or die! From the first time i saw these guys i was like,&quot;Hey, these guys are pretty cool.&quot; Now the only thing i listen to in the car is Triple Fast Action or Metallica. They have really good songs that might take a little  getting used to but it nothing out of the ordinary if you like hard rock.  Of course their guitar and lyrical work is top of the line but the drumming  is what really sticks in my head.....it's awesome. It is actually the  current drummer of Local at this time. This is why i don't know why these  guys never earned the credit they deserved. They had a couple hits on the  radio but a lot of people still never heard of them. Well, I'm telling you  first hand this is a really good album and you should give it a try. If you  can find their first album Broadcaster, which is out of print, that is just  as good as their last one. Coming from a band that hardly anyone has ever heard of, it's hard to believe that their only two CDs are so great.  But along with Cattlemen Don't, their debut CD (Broadcaster) is equally as good.  What makes this album different is the fact that the songs here are a collection of unreleased and new songs, whereas Broadcaster was just their debut release.  Even though Triplefastaction is no longer a true band, don't let that phase you.  All the songs on this CD are good, and not a one should go overlooked.  Here's a short overview of the 14 songs on the CD.""Ronnie's Theme"" and ""Pure"", in essence, work as one song (""Ronnie's Theme"" is only five seconds long).  It's a great song that really starts off the CD with a bang.  It's a hard rock song and has some great, emotional lyrics.  The next song, ""Heroes"", is a bit different.  It lacks the heaviness of ""Pure"", but it works well.  The song is very good and lyrically it's awesome.  I do like the song ""If"", but not as much as some of the others.  It's a decent song; one of those you'll have to decide for yourself.  The title track of the CD, on the other hand, is one of the better songs so far.  It's slow, soft, yet maintains TFA's usual rock & roll style.I have to say, honestly, ""Eurogirl"" is the worst song on Cattlemen Don't.  It's not terrible, but it's not good either.  But the next song will make you forget about it anyways.  ""The Rescue"" is a great song that uses its lyrics to ride the music.  It's really a neat song that takes you right into ""I'm Ready"".  ""I'm Ready"" is a fast paced song that is slightly different from the rest of the album.  It's good, but still not the best.  At this point, the next song becomes my favorite so far.  ""Duck And Run"" has probably the best lyrics of any song on the CD, and is as fast paced as the last one.  Yet it's more melodic and cool.Given the fact that we've already had seven out of eight songs be great, we reach an almost ineffectual (though still decent) point of the CD.  The two songs ""Sent Them Straight"" and ""Yeah"" lack good lyrics, although they do slow down the pace of the CD; for those who can't handle it.  And as for the song ""Operator""...well, classic.  It's a fabulous song with some really good lyrics, but an even better beat.  Besides ""Pure"" and what's to come, it's my favorite.  Then you have ""No Doubt""; an average but good TFA song.  And finally, we reach my favorite Triplefastaction song of all-time: ""Bearer Of Bad News"".  This epic masterpiece takes the cake as the best song on the CD; and from their debut CD.  The lyrics are so amazing and the five minutes of music just flow through you with incredible ease.  It's relaxing, and will really leave you with a feeling of utter happiness.In conclusion, this CD is probably the most underrated and overlooked release that music has been a part of.  It is no doubt a 5 star CD.  And like Broadcaster, every song is at least decent if not great; the epic song is unbelievable; the weaker points only lead to the best; and it's certainly worth your time.  Once you get this album, and if you like it, make sure you pick up Broadcaster and look into my favorite band: Local H.  Triplefastaction's former drummer Brian St. Clair now plays in the remarkable two man band and is featured on their 2002 CD Here Comes The Zoo.  Don't miss a thing.","Alternative Rock,Indie Rock,Indie & Lo-Fi,Pop,Rock,American Alternative",find cd good around since dont know whether glad found feel stupid knowing till ive played every day since coming across maybe ive made lost time guys really deep elm emo sound much powerful fullness deep elm discs brilliant vocals lyrics blended forceful guitar band fascinating synthesis sound sincerity accidents every note sound word purpose every crafted work experiential art like doctoral dissertation level emo quot operator quot one greatest hardcore emo ever recorded tour de force power heart alone would make five star cd every within hair good deep elm guts put intelligent outstanding comes surprise every review gives stars one find good dont know glad found feel stupid knowing played day coming coming across maybe lost time guys really deep sound powerful fullness deep deep elm elm discs brilliant vocals lyrics blended forceful guitar band fascinating synthesis sound sincerity accidents note sound word purpose crafted work experiential art doctoral doctoral dissertation dissertation level emo quot operator quot greatest hardcore hardcore emo emo recorded tour tour de force force force power power heart star cd hair good deep deep elm elm guts intelligent outstanding comes surprise review stars
87,185,B000000234,"If you're a fan of Deep Elm bands or what was originally coined as ""emo"" in the late 90s (before the moniker morphed into mainstream crap rock), you'll probably really like this cd...unfortunately, it's hard to find these days. Deep Elm no longer sells physical cds. Another goody but hard to find Deep Elm record is Red Animal War's ""Black Phantom Crusades."" drool and tyro alone make this cd worth getting. pave the rocket is awesome, and check out other bands on the deep elm label, they rock too. Hey buy this Cd. this band takes MEDIOCRITY &amp; Spits in its face. I give it a PERFECT score. This is the coolest cd. i cant say any mor it is bad-ass","Alternative Rock,Indie Rock,Indie & Lo-Fi,Punk,Pop,Rock,Hardcore & Punk",youre fan deep elm bands originally coined emo late moniker morphed mainstream crap rock youll probably really like cd unfortunately hard find days deep elm longer sells physical cds another goody hard find deep elm record red animal wars black phantom crusades drool tyro alone make cd worth getting pave rocket awesome check bands deep elm label rock hey buy cd band takes mediocrity amp spits face give perfect score coolest cd cant say mor bad ass youre fan deep deep elm elm bands originally coined emo late moniker morphed mainstream crap rock probably really cd unfortunately hard find days deep longer sells physical cds goody hard find deep deep elm elm record red red animal wars animal wars black phantom crusades drool tyro cd worth pave rocket awesome check bands deep label rock buy cd band mediocrity amp spits face perfect score cd say mor bad bad ass ass
88,186,B000000238,"There is Bill Monroe, and their is Ralph Stanley. There is the Louvin Brothers and Jesse and Jimmy, but then there is The Seldom Scene. This is the album to buy if you want to learn where Bluegrass Music gets it's progressive sound that you hear now in the 21st Century. This album has it all. Buy, Listen to It and learn why so many people love The Seldom Scene. -charlie tew, North Carolina Bluegrass Association If you are buying just one Seldom Scene...this be it. Showcases the members talent quite well. Great for &#34;walk in&#34; or outro. THE BEST HARMONIES THAT I HAVE EVER HEARD ON A BLUEGRASS CD. THIS IS A KEEPER. I recommmend this selection for those who enjoy Blugrass music at its best,even though some of these selections were performed in the early years of the group the music has its own distinct sound. This music had an excellent sound quality,& the band was also a joy to listen to. I hope they play soon at a location near me. We heard one of Seldom Scene's songs on a radio Bluegrass station.  Loved it, so ordered a CD.  The songs are great, and we love the voices and instrumentals.  Wish we had discovered the group long ago. From the title you can see where I am headed.First...these are the best bluegrass albums I have ever owned. I dont know how I missed them over the years while I listened to Flatt and Scruggs, Dillards, et al.Once I did discover them a year ago I raced off to Amazon and bought four CD's about one month apart.Having done that, and having listened to them now for six months my advice, not necessarily my reviews, would be........Buy the original Rebel CD's starting with the earliest ones. My favorite is Different Roads..its got a good mix of mellow and raucous and every song is a ten.I interspersed the straight CD's ( mixed and recorded in a studio ) with concert CD's and I think its a big mistake.With the straight CD's none of the songs are duplicates and all are the best versions of their best songs. When you start buying the concert CD's you get duplication of songs, and they are not usually the best version. You also get the chipping on stage and even worse, the screamers who find it necessary to yell like they just got 600 volts on private parts...horrible.So for me...the SS clean recording studio CD's are all fives compared to other Blue grass groups...harmony, instruments, and material ( Starling's songs are incredible if you like soft, crafted stories put to music ).Knowing what I know now, the  only concert album I would buy is Cellar Door because songs 5,10, 15, 17 and 21 are fantastic..the rest are not my cup of tea. I would also shoot the screamer if I could.So..good luck with SS. They are fantastic Bluegrass artists and should be part of any bluegrass aficionado's collection. What's not to love about the Seldom Scene. They are great vocalists and instrumentalists. Several tunes feature the late John Duffy - what a great talent lost. I recommend this album to anyone who loves bluegrass, you will be singing along with them in no time!","Contemporary Folk,Country,Bluegrass,Pop,Today's Country,Folk",bill monroe ralph stanley louvin brothers jesse jimmy seldom scene buy want learn bluegrass gets progressive sound hear st century buy listen learn many people love seldom scene charlie tew north carolina bluegrass association buying one seldom scene showcases members talent quite well great walk outro best harmonies ever heard bluegrass cd keeper recommmend selection enjoy blugrass best even though selections performed early years group distinct sound excellent sound quality band also joy listen hope play soon location near heard one seldom scenes radio bluegrass station loved ordered bill bill monroe monroe ralph ralph stanley stanley louvin brothers brothers jimmy seldom seldom scene scene buy want learn bluegrass progressive sound hear century buy listen learn people love seldom seldom scene scene tew north bluegrass association buying seldom seldom scene scene showcases members talent quite great walk outro best harmonies heard bluegrass cd keeper selection enjoy best selections performed early early years years group distinct sound excellent sound sound quality quality band joy listen hope play soon location heard seldom seldom scenes scenes radio bluegrass station loved ordered
89,187,B00000023B,"Given that this project was recorded just after the release of &quot;Award Winning&quot;, it is a same it lay dormant for a while.  This project is the classic example of the class act of Waller/Lawson/Emerson/Yates.  From  the opening with &quot;Fox on the Run&quot; to cuts from &quot;Award  Winning&quot; ,it is a must for any Gents fan.  I wish there had been a  video with this one. I have a lot of Country Gentlemen LPs and CDs since they are one of my most favorite bluegrass performers. This one, however, is unique because of the live environment.  I have many of the same songs from other LPs and CDs, but actually prefer these live versions.  This particular set of Country Gentlemen performers, among the many who have been with the group's main man, Charlie Waller, seems the best to me, and in front of an appreciative audience, they are clearly doing their best work.  You cannot go wrong with this CD. Worth every penny. The Country Gentlemen is arguably one of the two best bluegrass bands ever (the other being The Seldom Scene, both of which were formed by the late great John Duffey), this live album is very enjoyable, if for no other reason than it IS live which brings out the best in the personalities of these great men, particularly the Hank Snow impressions of the great Charlie Waller.If you love bluegrass and haven't heard this album, you must buy it.  A purchase you won't regret.","Classic Country,Contemporary Folk,Country,Bluegrass,Pop,Traditional Folk,Today's Country,Folk",given project recorded release quot award winning quot lay dormant project classic example class act waller lawson emerson yates opening quot fox run quot cuts quot award winning quot must gents fan wish video one lot country gentlemen lps cds since one favorite bluegrass performers one however unique live environment many lps cds actually prefer live versions particular set country gentlemen performers among many groups main man charlie waller seems best front appreciative audience clearly best work cannot go wrong cd worth every penny country gentlemen arguably one two best bluegrass bands ever seld project recorded release quot award winning lay dormant project classic classic example example class class act act opening quot fox fox run run quot cuts award winning quot gents fan wish video lot country country gentlemen gentlemen lps cds favorite bluegrass performers unique live environment lps cds actually prefer live versions set country country gentlemen gentlemen performers groups main main man man charlie waller seems best appreciative audience clearly best best work work go wrong wrong cd worth worth every penny penny country country gentlemen gentlemen arguably best bluegrass bluegrass bands bands
90,188,B00000023G,"Think again. Shuffler's picking brings a whole new dimension to these familiar classics. As casual as a glass of tea on the porch, precise as a carpenter's rule, Shuffler's 6-string work cascades up and down, round and round, like a mountain road. There's no fiddle, so this makes for a unique Stanley Brothers band. They had just come off a week-long stint at Johnny's Used Cars near Baltimore, and the owner, Johnny Willbanks, was also the 'CEO' of Wango Records, and got this version of the band to record four albums for him. This is the second in the series (Wango 104), and was the only album to feature purely secular material. Carter sounds very strong on this, invested you might say; and Ralph's unmistakable tenor adds the mountain soul that the Stanley Brothers have always been famous for, and his banjo picking is superb. The recordings sound great, and are a welcome addition to my Stanley collection.","Classic Country,Contemporary Folk,Country,Bluegrass,Pop,Traditional Folk,Folk",think shufflers picking brings whole new dimension familiar classics casual glass tea porch precise carpenters rule shufflers string work cascades round round like mountain road theres fiddle makes unique stanley brothers band come week long stint johnnys used cars near baltimore owner johnny willbanks also ceo wango records got version band record four second series wango feature purely secular material carter sounds strong invested might say ralphs unmistakable tenor adds mountain soul stanley brothers always famous banjo picking superb recordings sound great welcome addition stanley collection think shufflers picking brings new dimension familiar classics casual glass tea porch precise carpenters rule shufflers string work cascades round round round round mountain road fiddle unique stanley brothers brothers band come week long stint johnnys used used cars cars owner johnny wango records got version band record second series wango feature purely secular material carter sounds strong invested say ralphs unmistakable tenor adds mountain mountain soul soul stanley brothers brothers famous banjo picking superb recordings sound great welcome addition collection
